user_id,trial_id,part,video_path,question,category,gt_answer,frames,frame_550_rating,frame_555_rating,frame_569_rating,frame_573_rating,frame_574_rating,frame_578_rating,frame_581_rating,frame_589_rating,frame_594_rating,frame_621_rating,ratings_list,good_datapoint,comment,reaction_time_ms,timestamp,,,
Kalash_Debarpan,6,1,video_frames_kalash_new_filtered/video_64.mp4,Is the plastic lid placed on the transparent tumbler?,,no,"[550, 555, 569, 573, 574, 578, 581, 589, 594, 621]",10,10,6,7,8,8,8,8,8,10,"[10, 10, 6, 7, 8, 8, 8, 8, 8, 10]",no,change the qsn-> Is the red plastic lid placed on the transparent tumbler?,3550746,2026-05-13T11:01:49.213941,,,
Kalash_Debarpan,39,1,video_frames_kalash_new_filtered/48.webm,Is green glass in contact with the table?,,yes,"[19, 20, 21, 22, 30, 33, 34, 35, 36, 37]",10,10,10,10,4,8,8,8,9,10,"[10, 10, 10, 10, 4, 8, 8, 8, 9, 10]",yes,,43785,2026-05-13T11:02:36.213409,,,
Kalash_Debarpan,12,1,video_frames_kalash_new_filtered/video_102.mp4,Is the blue pen on the green book?,,yes,"[98, 102, 113, 117, 122, 123, 124, 128, 131, 138]",10,10,8,7,7,6,4,6,9,10,"[10, 10, 8, 7, 7, 6, 4, 6, 9, 10]",yes,,75656,2026-05-13T11:03:55.114500,,,
Kalash_Debarpan,26,1,video_frames_kalash_new_filtered/video_363.mp4,Is the Iron placed on the blue shirt?,,"[no, no]","[296, 298, 300, 313, 362, 559, 561, 565, 570, 574]",7,5,5,5,5,5,5,5,5,5,"[7, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"images not good, discard this",45780,2026-05-13T11:04:44.132269,,,
Kalash_Debarpan,13,1,video_frames_kalash_new_filtered/video_108.mp4,Is the ball closer to the salt shaker than the steel container?,,no,"[148, 149, 155, 162, 163, 165, 166, 167, 168, 169]",5,5,5,5,5,5,5,5,5,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"discard this, salt shaker not visible in last 2 images.",64873,2026-05-13T11:05:52.250232,,,
Kalash_Debarpan,15,1,video_frames_kalash_new_filtered/video_132.mp4,Are there exactly 3 blue cups on the table?,,"[yes, yes]","[136, 138, 140, 144, 148, 154, 201, 207, 208, 210]",9,8,5,3,6,6,7,8,9,10,"[9, 8, 5, 3, 6, 6, 7, 8, 9, 10]",yes,,83667,2026-05-13T11:07:19.201035,,,
Kalash_Debarpan,43,1,video_frames_kalash_new_filtered/102.webm,Is the person touching the rubiks cube?,,"[no, no]","[10, 11, 12, 13, 14, 16, 43, 44, 45, 46]",8,7,4,3,5,7,7,8,10,10,"[8, 7, 4, 3, 5, 7, 7, 8, 10, 10]",yes,,62003,2026-05-14T07:09:25.044132,,,
Kalash_Debarpan,11,1,video_frames_kalash_new_filtered/video_86.mp4,Is the purple tumbler touching the table?,,yes,"[544, 546, 550, 554, 556, 557, 558, 560, 568, 580]",10,10,10,10,10,9,2,4,8,8,"[10, 10, 10, 10, 10, 9, 2, 4, 8, 8]",yes,,98154,2026-05-14T07:11:06.409828,,,
Kalash_Debarpan,37,1,video_frames_kalash_new_filtered/45.webm,Is the entire wooden block touching the wire?,,yes,"[0, 1, 2, 3, 7, 13, 14, 15, 16, 17]",5,5,5,5,5,5,5,5,5,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"Not uncertainty aligned, discard this.",53019,2026-05-14T07:12:02.648097,,,
Kalash_Debarpan,49,1,video_frames_kalash_new_filtered/136.webm,Is the person holding a camera string?,,yes,"[9, 10, 11, 12, 14, 24, 25, 26, 27, 28]",5,5,5,5,5,5,5,5,5,5,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"discard this, not uncertainty aligned.",47671,2026-05-14T07:12:53.537714,,,
Kalash_Debarpan,46,1,video_frames_kalash_new_filtered/124.webm,Is there water splatter beneath the wiping cloth?,,yes,"[8, 9, 10, 11, 13, 52, 53, 54, 63, 64]",9,9,6,6,4,4,7,7,8,8,"[9, 9, 6, 6, 4, 4, 7, 7, 8, 8]",yes,,38890,2026-05-14T07:13:35.642289,,,
Kalash_Debarpan,19,1,video_frames_kalash_new_filtered/video_191.mp4,Is the door closed?,,no,"[103, 106, 107, 111, 114, 132, 141, 145, 147, 151]",9,9,9,8,8,9,9,9,9,9,"[9, 9, 9, 8, 8, 9, 9, 9, 9, 9]",yes,,51187,2026-05-14T07:14:30.028661,,,
