user_id,trial_id,part,question,ratings_list,good_datapoint,comment,reaction_time_ms
Sandra,34,1,Is the finger touching the white container?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,83646
Sandra,15,1,Are there exactly 3 blue cups on the table?,"[10, 9, 7, 9, 10, 6, 9, 10, 10, 10]",yes,,120049
Sandra,42,1,Is the person touching the white object?,"[10, 10, 10, 8, 8, 9, 7, 7, 8, 9]",yes,,131462
Sandra,3,1,Is the pen touching the book?,"[10, 5, 9, 10, 9, 6, 10, 10, 3, 9]",yes,,192534
Sandra,28,1,Are there a pair of of white shoes beneath the pair of jeans?,"[4, 4, 6, 9, 9, 2, 5, 6, 7, 9]",no,"In the first two images, it is difficult to identify if the jeans is directly above or in just front of the shoes.",344862
Sandra,41,1,Is the orange object on the right of the green watch?,"[10, 10, 10, 10, 9, 1, 9, 9, 10, 10]",no,The green color is not very distinguishable.,93939
Sandra,8,1,Is the onion being dropped into the footwear?,"[10, 10, 2, 2, 2, 2, 2, 1, 2, 6]",no,"It looks like the hand is further away from the footwear, and not next to it.",129636
Sandra,50,1,Is the deodrant can on the green tile?,"[10, 10, 10, 10, 8, 7, 10, 10, 10, 10]",yes,,48908
Sandra,19,1,Is the door closed?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,37781
Sandra,6,1,Is the plastic lid placed on the transparent tumbler?,"[8, 8, 9, 10, 10, 10, 10, 10, 10, 10]",yes,,121197
Sandra,13,1,Is the ball closer to the salt shaker than the steel container?,"[10, 10, 10, 10, 10, 4, 4, 9, 10, 10]",yes,,71434
Sandra,29,1,Is the glass on the book?,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10]",yes,,92092
Sandra,45,1,Is the brush being held by the person?,"[8, 6, 2, 2, 7, 7, 9, 10, 10, 10]",yes,,69734
Sandra,37,1,Is the entire wooden block touching the wire?,"[1, 1, 1, 1, 8, 8, 10, 10, 10, 10]",yes,,46383
Sandra,22,1,Is there a knife and spoon on the blue sofa?,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",no,Difficult to identify if there is a sofa and if it is blue.,135512
Sandra,7,1,Is there an adapter beneath the paper cup?,"[1, 1, 2, 2, 7, 3, 7, 7, 7, 1]",no,"In the 6th image, it is not clear under which of the cup.",221851
Sandra,26,1,Is the Iron placed on the blue shirt?,"[4, 4, 4, 4, 7, 6, 6, 7, 9, 10]",yes,,347028
Sandra,2,1,Is the pen closer to the green book than the jar?,"[10, 10, 10, 10, 6, 2, 1, 1, 8, 10]",yes,,135926
Sandra,40,1,Is the white object (on top of the grey cylindrical object) closer to the right eye than the left eye?,"[8, 8, 8, 7, 2, 9, 9, 9, 9, 10]",no,"The question is not specific if it is the right eye of the person, or if it the eye on the right side of the image.",243454
Sandra,18,1,Is the fruit placed on top of the white cup?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,108431
Sandra,14,1,Is the red cap attached to the popcorn container?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8]",yes,,64443
Sandra,24,1,Is there an oil bottle on the table?,"[10, 10, 10, 10, 10, 5, 10, 10, 10, 10]",yes,,53217
Sandra,16,1,Is there a white chess piece in the hands of the person?,"[10, 10, 10, 10, 1, 8, 10, 10, 10, 10]",yes,,84327
Sandra,43,1,Is the person touching the rubiks cube?,"[5, 5, 5, 5, 7, 10, 5, 10, 10, 10]",yes,,101808
Sandra,38,1,Is the tape recorder in contact with the magazine?,"[10, 10, 10, 10, 10, 7, 10, 10, 10, 10]",yes,,66856
Sandra,26,1,Is the Iron placed on the blue shirt?,"[5, 5, 5, 5, 8, 7, 7, 8, 9, 9]",yes,,116109
Sandra,34,1,Is the finger touching the white container?,"[10, 10, 10, 10, 10, 9, 10, 10, 10, 10]",yes,,47217
Sandra,45,1,Is the brush being held by the person?,"[6, 2, 2, 3, 7, 7, 8, 10, 10, 10]",yes,,77145
Sandra,19,1,Is the door closed?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,32210
Sandra,18,1,Is the fruit placed on top of the white cup?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,27711
Sandra,5,1,Are there exactly 3 cups?,"[10, 10, 9, 7, 6, 5, 10, 10, 10, 10]",yes,,74339
Sandra,36,1,Is there a coin in the image?,"[9, 9, 9, 9, 9, 8, 8, 9, 9, 9]",yes,,57257
Sandra,25,1,Are there 2 purses hanging on the black chair?,"[10, 10, 10, 10, 2, 7, 7, 7, 7, 7]",yes,,66447
Sandra,23,1,Is there a pair of scissors on the desk?,"[10, 10, 10, 10, 10, 9, 10, 10, 10, 10]",yes,,51150
Sandra,35,1,Is the person holding the bottle?,"[10, 10, 10, 9, 8, 10, 10, 10, 10, 10]",yes,,53866
Sandra,16,1,Is there a white chess piece in the hands of the person?,"[10, 10, 10, 10, 1, 8, 10, 10, 10, 10]",yes,,44552
Sandra,13,1,Is the ball closer to the salt shaker than the steel container?,"[10, 10, 10, 10, 10, 8, 1, 3, 9, 10]",yes,,64777
Sandra,27,1,Does the container have its lid on?,"[10, 10, 10, 10, 9, 5, 5, 8, 8, 10]",no,The panel shown in the image does not seem to be the lid of the container.,185590
Sandra,11,1,Is the purple tumbler touching the table?,"[10, 10, 10, 10, 10, 10, 1, 9, 10, 10]",yes,,62466
Sandra,44,1,Is the brown disk in contact with the persons hand?,"[10, 10, 6, 10, 10, 10, 10, 10, 10, 10]",yes,,68313
Sandra,30,1,Is the iron on the red sweater?,"[10, 10, 10, 10, 9, 8, 9, 10, 10, 10]",yes,,41115
Sandra,9,1,Are there exactly 2 fruits?,"[10, 10, 10, 10, 5, 7, 9, 10, 10, 10]",yes,,60359
Sandra,38,1,Is the tape recorder in contact with the magazine?,"[10, 10, 10, 10, 10, 7, 10, 10, 10, 10]",yes,,27087
Sandra,14,1,Is the red cap attached to the popcorn container?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9]",yes,,43357
Sandra,37,1,Is the entire wooden block touching the wire?,"[1, 1, 1, 1, 8, 9, 10, 10, 10, 10]",yes,,34680
Sandra,29,1,Is the glass on the book?,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10]",yes,,48091
Sandra,39,1,Is green glass in contact with the table?,"[10, 10, 10, 9, 6, 10, 10, 10, 10, 10]",yes,,41458
Sandra,49,1,Is the person holding a camera string?,"[2, 2, 2, 5, 7, 8, 10, 10, 10, 10]",yes,,49956
Sandra,42,1,Is the person touching the white object?,"[10, 10, 10, 10, 10, 9, 10, 10, 10, 10]",yes,,35983
Sandra,33,1,Is the comb touching the onion,"[10, 10, 10, 10, 10, 2, 5, 6, 6, 8]",yes,,66244
Sandra,46,1,Is there water splatter beneath the wiping cloth?,"[10, 10, 10, 10, 4, 1, 1, 2, 4, 4]",yes,,84017
Sandra,43,1,Is the person touching the rubiks cube?,"[8, 7, 7, 7, 6, 10, 9, 10, 10, 10]",yes,,102230
Sandra,8,1,Is the onion being dropped into the footwear?,"[10, 10, 5, 5, 5, 7, 8, 8, 8, 9]",no,It looks like the shoe is further away from the hand and not next to the hand.,130122
