image_path,question,gt_answer,primary_category
NExTVideo_1000_3824469712/frame_0380.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0387.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0393.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0395.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0398.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0408.png,Is the boy on the vehicle?,no,geometric
NExTVideo_1000_3824469712/frame_0412.png,Is the boy on the vehicle?,yes,geometric
NExTVideo_1000_3824469712/frame_0415.png,Is the boy on the vehicle?,yes,geometric
NExTVideo_1000_3824469712/frame_0417.png,Is the boy on the vehicle?,yes,geometric
NExTVideo_1000_3824469712/frame_0419.png,Is the boy on the vehicle?,yes,geometric
NExTVideo_0089_6868234420/frame_1320.png,Is the girl standing on the chair?,no,semantic
NExTVideo_0089_6868234420/frame_1325.png,Is the girl standing on the chair?,no,semantic
NExTVideo_0089_6868234420/frame_1330.png,Is the girl standing on the chair?,no,semantic
NExTVideo_0089_6868234420/frame_1335.png,Is the girl standing on the chair?,no,semantic
NExTVideo_0089_6868234420/frame_1345.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_0089_6868234420/frame_1350.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_0089_6868234420/frame_1355.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_0089_6868234420/frame_1360.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_0089_6868234420/frame_1365.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_0089_6868234420/frame_1370.png,Is the girl standing on the chair?,yes,semantic
NExTVideo_1104_5508995205/frame_0500.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0520.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0540.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0580.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0600.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0628.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0650.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0665.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0680.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
NExTVideo_1104_5508995205/frame_0700.png,Are exactly 2 adults holding babies in the pool?,yes,compositional
