Video path,Question,Frames,Center frame,GT
/home/debarpanb1/NExTVideo/0000/2794976541.mp4,Is the dog on the left of the woman,"[0622,0624,0627,0631,0634,0637,0641,0644,0647,0651]",[0637],YES
/home/debarpanb1/NExTVideo/0000/2950216986.mp4,Are there 2 people in the frame,"[2053,2055,2065,2073,2079,2086,2092,2101,2105,2106]",[2092],NO
Videoframe_extract_unreviewed_2399357525.mp4,Is the girl looking down,"[0000,0004,0007,0023,0025,0029,0033,0037,0041,0043]",[0025],YES
Videoframe_extract_unreviewed_2400074985.mp4,Is the girl facing towards the camera,"[0166,0168,0170,0172,0173,0175,0177,0179,0180,0182]",[0172],NO
Videoframe_extract_unreviewed_2401074058.mp4,Is the baby looking towards the rabbit,"[0212,0214,0216,0218,0220,0222,0224,0226,0228,0230]",[0224],YES
Videoframe_extract_unreviewed_2402580038.mp4,Is the baby looking towards the toy,"[0961,0963,0965,0967,0969,0971,0973,0975,0977,0979]",[0971],NO
Videoframe_extract_unreviewed_2410572701.mp4,Is the grey shirt boy on the right of the black shirt boy,"[0248,0253,0260,0267,0278,0294,0305,0309,0319,0328]",[0294],NO
Videoframe_extract_unreviewed_2413015791.mp4,Are the bride and the groom facing towards their candles,"[0040,0046,0053,0063,0067,0070,0075,0077,0079,0081]",[0063],NO
Videoframe_extract_unreviewed_2413341572.mp4,Are there 3 people in the incident,"[1400,1403,1407,1417,1418,1420,1422,1424,1426,1428]",[1417],NO
Videoframe_extract_unreviewed_2416632400.mp4,Is the man off the train,"[0945,0949,0951,0954,0955,0959,0960,0963,0965,0969]",[0955],NO
Videoframe_extract_unreviewed_2420718744.mp4,Is the door more open than more closed,"[0370,0384,0389,0399,0402,0404,0407,0415,0418,0420]",[0407],NO
Videoframe_extract_unreviewed_2433780333.mp4,Is the golf club ahead of man's legs,"[0410,0412,0414,0416,0418,0420,0422,0425,0427,0429]",[0418],NO
Videoframe_extract_unreviewed_2446709374.mp4,Is the elephant on the road,"[0390,0394,0396,0400,0417,0431,0436,0440,0444,0459]",[0436],YES
Videoframe_extract_unreviewed_2454011165.mp4,Do exactly 3 people have flower on their chest,"[0085,0089,0093,0098,0100,0104,0108,0112,0116,0120]",[0098],YES
Videoframe_extract_unreviewed_2458584542.mp4,Is the baby looking towards the camera,"[0765,0768,0772,0776,0779,0784,0785,0789,0791,0794]",[0776],NO
Videoframe_extract_unreviewed_2475104074.mp4,Is the book on the lap,"[0290,0293,0296,0300,0346,0387,0394,0404,0556,0580]",[0404],YES
Videoframe_extract_unreviewed_2479343168.mp4,Is the white shirt guy looking backward,"[0075,0078,0081,0085,0090,0098,0107,0118,0129,0139]",[0090],NO
Videoframe_extract_unreviewed_2486475553.mp4,Is the dog jumping,"[0204,0206,0209,0211,0213,0215,0217,0225,0229,0232]",[0211],NO
Videoframe_extract_unreviewed_2507835175.mp4,Is the baby looking towards the camera,"[0005,0009,0013,0017,0021,0025,0029,0059,0063,0064]",[0059],YES
Videoframe_extract_unreviewed_2508145361.mp4,Is the kid on the left of the man,"[0000,0002,0005,0009,0010,0019,0026,0035,0045,0049]",[0026],YES
Videoframe_extract_unreviewed_2512546598.mp4,Are the 2 men watching each other,"[0101,0109,0131,0134,0138,0141,0143,0144,0145,0146]",[0134],YES
