user_id,trial_id,part,question,ratings_list,good_datapoint,comment,reaction_time_ms
Saksham Maitri,7,1,Is the child standing on the chair?,"[10, 10, 3, 3, 10, 10, 10, 10, 10, 10]",yes,,74307
Saksham Maitri,51,1,Are there exactly 2 men in the scene?,"[10, 10, 10, 5, 7, 10, 10, 10, 10, 10]",yes,,58783
Saksham Maitri,27,1,Is the baby wrapped with a piece of cloth?,"[10, 10, 10, 6, 6, 5, 9, 10, 10, 10]",yes,,51097
Saksham Maitri,21,1,Is the dog in front of the baby?,"[10, 10, 3, 3, 3, 10, 10, 10, 10, 10]",yes,,75017
Saksham Maitri,12,1,Is the boy looking upwards?,"[10, 10, 10, 10, 10, 3, 7, 10, 10, 10]",yes,,85974
Saksham Maitri,39,1,Are there exactly two cats in the scene?,"[10, 10, 10, 10, 10, 8, 8, 10, 10, 10]",yes,,69443
Saksham Maitri,34,1,Is the man looking at the television?,"[10, 10, 10, 7, 4, 2, 7, 10, 10, 10]",yes,,40510
Saksham Maitri,19,1,Is the boy at the left of the man?,"[10, 10, 10, 10, 10, 8, 10, 10, 10, 10]",no,Technically the answer is deterministic since the question didn't specified if it means exact left or leftside wrt the man,132777
Saksham Maitri,13,1,Is the man looking at the book in his hand?,"[10, 10, 10, 7, 10, 10, 10, 10, 10, 10]",yes,,65794
Saksham Maitri,25,1,Is the insect on the palm?,"[10, 10, 10, 10, 7, 10, 10, 10, 10, 10]",yes,,105950
Saksham Maitri,56,1,Is the boy drinking from the yellow cup?,"[10, 10, 10, 10, 7, 7, 10, 10, 10, 10]",yes,,197465
Saksham Maitri,23,1,Is the dog at the left of the woman?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,"The dog is either in the left or its not (front + right), so the answer is deterministic",68178
Saksham Maitri,36,1,Are both the birds standing in water?,"[10, 10, 10, 10, 4, 10, 10, 10, 10, 10]",yes,,45213
Saksham Maitri,14,1,Are there exactly two men in the scene?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,144627
Saksham Maitri,56,1,Is the boy drinking from the yellow cup?,"[10, 10, 10, 8, 6, 8, 8, 10, 10, 10]",yes,,54139
Saksham Maitri,30,1,Are there exactly two men in the scene?,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10]",no,"Question phrasing can be a bit more detailed , like are there exactly 2 people in the scene because the constraint of men is making this confusing , like men and women look same for the blue dress person",166847
Saksham Maitri,34,1,Is the man looking at the television?,"[10, 10, 10, 10, 5, 5, 10, 10, 10, 10]",yes,,58050
Saksham Maitri,15,1,Is the man at the left of the woman?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,"It would be helpful if the question specified for the person whose perspective we have to take into account , like if its wrt the woman , the answer is pretty deterministic for every frame",111598
Saksham Maitri,12,1,Is the boy looking upwards?,"[10, 10, 10, 7, 7, 10, 10, 10, 10, 10]",yes,,52508
Saksham Maitri,51,1,Are there exactly 2 men in the scene?,"[10, 10, 10, 3, 3, 8, 10, 10, 10, 10]",yes,,84490
Saksham Maitri,45,1,Is the military lady shaking hands with the military man?,"[10, 10, 10, 10, 7, 7, 10, 10, 10, 10]",yes,,34221
Saksham Maitri,33,1,Are there exactly two cats in the scene?,"[10, 10, 10, 10, 10, 5, 5, 10, 10, 10]",yes,,178487
Saksham Maitri,50,1,Is the cyclist jumping off the stairs?,"[7, 10, 10, 10, 10, 6, 7, 9, 9, 9]",yes,,141302
Saksham Maitri,21,1,Is the dog in front of the baby?,"[10, 10, 9, 8, 10, 10, 10, 10, 10, 10]",yes,,48571
Saksham Maitri,20,1,Is the baby sitting on the floor?,"[5, 5, 5, 5, 8, 9, 10, 10, 10, 10]",yes,,39545
Saksham Maitri,9,1,Is the child at the right of the woman?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,"I suppose we are talking wrt the cameraman, adding this to question will be helpful",86731
Saksham Maitri,36,1,Are both the birds standing in water?,"[10, 10, 8, 8, 5, 10, 10, 10, 10, 10]",yes,,70242
Saksham Maitri,6,1,Is the baby on the carpet?,"[10, 10, 10, 10, 6, 6, 8, 10, 10, 10]",yes,,46818
Saksham Maitri,2,1,Is the girl standing on the chair?,"[10, 10, 10, 6, 7, 8, 8, 10, 10, 10]",yes,,52135
Saksham Maitri,55,1,Are there 2 dogs on the bed?,"[10, 10, 10, 10, 5, 5, 7, 8, 10, 10]",yes,,120722
Saksham Maitri,42,1,Is the baby sitting on the sofa?,"[10, 10, 10, 10, 10, 5, 5, 5, 10, 10]",yes,,65927
Saksham Maitri,43,1,Are there 4 men on the stage?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,The back person is sort of visible in all the images so you can remove him for the first 1-3 images,97474
Saksham Maitri,5,1,Is the child standing on his legs?,"[10, 10, 10, 9, 7, 7, 10, 10, 10, 10]",yes,,53964
Saksham Maitri,35,1,Is the child at the left of the woman?,"[10, 10, 10, 10, 9, 10, 10, 5, 10, 10]",yes,,91646
Saksham Maitri,28,1,Is the man kissing the woman?,"[10, 8, 7, 10, 6, 10, 10, 10, 10, 10]",yes,,74497
Saksham Maitri,18,1,Is the bride at the left of the groom?,"[10, 10, 10, 10, 9, 10, 10, 10, 10, 10]",yes,,69413
Saksham Maitri,16,1,Is the man sitting on snow?,"[5, 5, 5, 5, 5, 10, 10, 10, 10, 10]",yes,,109150
Saksham Maitri,24,1,Are there eaxctly three woman in the scene?,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10]",yes,,57879
Saksham Maitri,13,1,Is the man looking at the book in his hand?,"[10, 10, 10, 1, 3, 5, 9, 10, 10, 10]",yes,,86445
Saksham Maitri,37,1,Are there exactly two cats in the image?,"[10, 10, 10, 10, 10, 10, 5, 10, 10, 10]",yes,,46769
Saksham Maitri,38,1,Is the woman looking towards her left?,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",no,pretty deterministic,35698
Saksham Maitri,31,1,Are there exactly two red plastic cups in the scene?,"[10, 10, 10, 8, 10, 10, 10, 10, 10, 10]",yes,,40789
Saksham Maitri,27,1,Is the baby wrapped with a piece of cloth?,"[10, 10, 10, 10, 5, 7, 7, 10, 10, 10]",yes,,102946
Saksham Maitri,46,1,Are there red and orange container behind the baby?,"[10, 10, 10, 5, 2, 10, 10, 10, 10, 10]",yes,,69640
Saksham Maitri,39,1,Are there exactly two cats in the scene?,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 10]",yes,,30770
Saksham Maitri,40,1,Are the two babies in the scene sitting beside each other?,"[10, 10, 10, 10, 10, 10, 8, 8, 10, 10]",yes,,100592
Saksham Maitri,52,1,Is the female dancer on the left side of the male dancer?,"[10, 10, 10, 7, 7, 10, 10, 10, 10, 10]",yes,,91596
Saksham Maitri,32,1,Is the boy on the vehicle?,"[10, 10, 10, 5, 5, 5, 8, 10, 10, 10]",yes,,44983
Saksham Maitri,49,1,Is the man looking at the baby's face?,"[10, 10, 10, 3, 8, 10, 10, 10, 10, 10]",yes,,44023
Saksham Maitri,54,1,Are there exactly 5 people on the stage?,"[5, 5, 5, 5, 5, 8, 5, 8, 5, 5]",yes,,241380
Saksham Maitri,29,1,Is the man with brown t-shirt drinking a beer?,"[8, 8, 8, 10, 10, 10, 10, 10, 10, 10]",yes,,74849
Saksham Maitri,11,1,Is the baby boy skidding towards his back?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,Skidding is not a good criteria to infer from a frame,82958
Saksham Maitri,1,1,Is the boy with white t-shirt at the left of the boy with black t-shirt?,"[10, 10, 10, 10, 10, 8, 5, 10, 10, 10]",yes,,61823
Saksham Maitri,23,1,Is the dog at the left of the woman?,"[10, 10, 10, 10, 6, 9, 10, 10, 10, 10]",yes,,79415
Saksham Maitri,3,1,Are both the dogs standing on the snow?,"[10, 10, 10, 10, 10, 7, 10, 10, 10, 10]",yes,,99027
Saksham Maitri,41,1,Is the baby on the right side of the man?,"[10, 10, 10, 2, 2, 9, 9, 9, 9, 4]",no,The man is not visible in few images.,156956
Saksham Maitri,7,1,Is the child standing on the chair?,"[5, 3, 3, 7, 10, 10, 10, 10, 10, 10]",yes,,72331
