user_id,trial_id,part,question,ratings_list,good_datapoint,comment,reaction_time_ms
Kalash_Debarpan,6,1,Is the plastic lid placed on the transparent tumbler?,"[10, 10, 6, 7, 8, 8, 8, 8, 8, 10]",no,change the qsn-> Is the red plastic lid placed on the transparent tumbler?,3550746
Kalash_Debarpan,39,1,Is green glass in contact with the table?,"[10, 10, 10, 10, 4, 8, 8, 8, 9, 10]",yes,,43785
Kalash_Debarpan,12,1,Is the blue pen on the green book?,"[10, 10, 8, 7, 7, 6, 4, 6, 9, 10]",yes,,75656
Kalash_Debarpan,26,1,Is the Iron placed on the blue shirt?,"[7, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"images not good, discard this",45780
Kalash_Debarpan,13,1,Is the ball closer to the salt shaker than the steel container?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"discard this, salt shaker not visible in last 2 images.",64873
Kalash_Debarpan,15,1,Are there exactly 3 blue cups on the table?,"[9, 8, 5, 3, 6, 6, 7, 8, 9, 10]",yes,,83667
Kalash_Debarpan,43,1,Is the person touching the rubiks cube?,"[8, 7, 4, 3, 5, 7, 7, 8, 10, 10]",yes,,62003
Kalash_Debarpan,11,1,Is the purple tumbler touching the table?,"[10, 10, 10, 10, 10, 9, 2, 4, 8, 8]",yes,,98154
Kalash_Debarpan,37,1,Is the entire wooden block touching the wire?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"Not uncertainty aligned, discard this.",53019
Kalash_Debarpan,49,1,Is the person holding a camera string?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"discard this, not uncertainty aligned.",47671
Kalash_Debarpan,46,1,Is there water splatter beneath the wiping cloth?,"[9, 9, 6, 6, 4, 4, 7, 7, 8, 8]",yes,,38890
Kalash_Debarpan,19,1,Is the door closed?,"[9, 9, 9, 8, 8, 9, 9, 9, 9, 9]",yes,,51187
Kalash_Debarpan,27,1,Does the container have its lid on?,"[9, 9, 8, 7, 4, 6, 7, 9, 9, 10]",yes,,71952
Kalash_Debarpan,33,1,Is the comb touching the onion,"[9, 9, 9, 9, 9, 4, 6, 8, 8, 8]",yes,,36042
Kalash_Debarpan,40,1,Is the white object (on top of the grey cylindrical object) closer to the right eye than the left eye?,"[9, 7, 7, 6, 2, 5, 7, 8, 9, 10]",yes,,63967
Kalash_Debarpan,38,1,Is the tape recorder in contact with the magazine?,"[10, 10, 10, 10, 9, 3, 9, 10, 10, 10]",no,change the qsn-> Is the black device in contact with the magazine?,226731
Kalash_Debarpan,44,1,Is the brown disk in contact with the persons hand?,"[9, 9, 3, 6, 7, 7, 7, 7, 7, 7]",yes,,128878
Kalash_Debarpan,31,1,Is the person holding the wallet?,"[9, 7, 5, 4, 3, 5, 7, 8, 10, 10]",yes,,91821
Kalash_Debarpan,23,1,Is there a pair of scissors on the desk?,"[9, 9, 9, 8, 8, 3, 6, 7, 8, 7]",yes,,90351
Kalash_Debarpan,22,1,Is there a knife and spoon on the blue sofa?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"knife not visible, discard this.",32134
Kalash_Debarpan,47,1,Is the drawer closed?,"[9, 9, 9, 9, 9, 4, 3, 5, 7, 8]",yes,,55932
Kalash_Debarpan,2,1,Is the pen closer to the green book than the jar?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"not understandable, discard this.",58462
Kalash_Debarpan,45,1,Is the brush being held by the person?,"[9, 6, 4, 2, 1, 3, 6, 7, 9, 9]",yes,,96827
Kalash_Debarpan,10,1,Are there exactly 2 tumblers?,"[9, 9, 9, 8, 8, 3, 6, 8, 8, 9]",yes,,44851
Kalash_Debarpan,14,1,Is the red cap attached to the popcorn container?,"[9, 5, 7, 8, 4, 7, 8, 9, 8, 3]",no,"not uncertainty aligned, discard.",115482
Kalash_Debarpan,7,1,Is there an adapter beneath the paper cup?,"[10, 10, 7, 5, 6, 8, 7, 7, 5, 8]",no,"not uncertainty algned, discard",61046
Kalash_Debarpan,29,1,Is the glass on the book?,"[8, 8, 8, 8, 5, 8, 9, 9, 9, 9]",no,change the qsn-> Is the glass touching the book?,64822
Kalash_Debarpan,8,1,Is the onion being dropped into the footwear?,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",no,"Discard this, the images are not good.",70061
Kalash_Debarpan,5,1,Are there exactly 3 cups?,"[8, 8, 8, 5, 3, 3, 7, 8, 8, 8]",no,change the qsn-> Are there exactly 3 orange cups?,112160
Kalash_Debarpan,41,1,Is the orange object on the right of the green watch?,"[9, 8, 8, 7, 6, 4, 6, 7, 7, 7]",yes,,50572
