video_path,question,frames,center_frames,gt_answer,primary_category
images/NExTVideo/0089/3066966990.mp4,Is the boy with white t-shirt at the left of the boy with black t-shirt?,"[1840, 1845, 1850, 1855, 1860, 1865, 1870, 1875, 1880, 1884]",[1875],yes,Compositional
images/NExTVideo/0089/6868234420.mp4,Is the girl standing on the chair?,"[1320, 1325, 1330, 1335, 1345, 1350, 1355, 1360, 1365, 1370]",[1345],no,Semantic
images/NExTVideo/0090/5329653093.mp4,Are both the dogs standing on the snow?,"[0410, 0430, 0760, 1245, 1250, 1255, 1260, 1265, 1270, 1280]",[1255],no,Semantic
images/NExTVideo/0090/7001183247.mp4,Is the man with white t-shirt at the right of the man with black t-shirt?,"[0077, 0078, 0080, 0082, 0088, 0090, 0092, 0094, 0096, 0098]","[0082, 0088]",yes,Compositional
images/NExTVideo/1009/4738042036.mp4,Is the child standing on his legs?,"[0015, 0025, 0035, 0050, 0070, 0080, 0090, 0092, 0104, 0114]",[0080],no,Semantic
images/NExTVideo/1203/3339687949.mp4,Is the baby on the carpet?,"[0080, 0090, 0124, 0150, 0175, 0190, 0200, 0220, 0240, 0250]",[0190],yes,Geometric
images/NExTVideo/1203/3798468368.mp4,Is the child standing on the chair?,"[0000, 0060, 0110, 0160, 0226, 0300, 0320, 0350, 0400, 0440]",[0226],no,Semantic
images/NExTVideo/1203/4039610385.mp4,Is the black shirt woman at the right of the red shirt man?,"[0200, 0210, 0220, 0230, 0240, 0260, 0270, 0300, 0310, 0320]",[0260],yes,Compositional
images/NExTVideo/1009/5996570774.mp4,Is the child at the right of the woman?,"[0010, 0015, 0018, 0023, 0028, 0040, 0045, 0050, 0055, 0060]",[0040],yes,Geometric
images/NExTVideo/1009/6118838509.mp4,Is the tortoise looking upwards?,"[0080, 0120, 0140, 0170, 0180, 0190, 0200, 0210, 0220, 0230]",[0180],no,Semantic
images/NExTVideo/1009/6416652333.mp4,Is the baby boy skidding towards his back?,"[0030, 0060, 0080, 0095, 0120, 0185, 0195, 0200, 0210, 0225]",[0185],no,Semantic
images/NExTVideo/1009/6420147083.mp4,Is the boy looking upwards?,"[0080, 0100, 0120, 0130, 0140, 0145, 0148, 0150, 0160, 0180]",[0145],no,Semantic
images/NExTVideo/1009/6663748603.mp4,Is the man looking at the book in his hand?,"[0050, 0055, 0060, 0064, 0065, 0066, 0070, 0075, 0078, 0080]",[0065],no,Semantic
images/NExTVideo/1009/8612900766.mp4,Are there exactly two men in the scene?,"[0370, 0390, 0400, 0410, 0460, 0480, 0600, 0610, 0615, 0620]",[0600],yes,Geometric
images/NExTVideo/0101/3122394310.mp4,Is the man at the left of the woman?,"[600, 0610, 0615, 0620, 0630, 0635, 0645, 0675, 0680, 0685]",[0645],yes,Geometric
images/NExTVideo/0101/3404210548.mp4,Is the man sitting on the black sled?,"[0260, 0265, 0270, 0275, 0280, 0285, 0288, 0290, 0294, 0298]",[0280],yes,Semantic
images/NExTVideo/0101/4740074365.mp4,Is the bride at the left of the groom?,"[0080, 0100, 0125, 0140, 0150, 0250, 0260, 0270, 0300, 0330]",[0250],yes,Geometric
images/NExTVideo/1000/2594144360.mp4,Is the baby sitting on the floor?,"[0140, 0143, 0145, 0147, 0150, 0151, 0152, 0153, 0154, 0155]",[0150],no,Semantic
images/NExTVideo/1000/2623063774.mp4,Is the child looking at the toys he is playing with?,"[0230, 0235, 0240, 0245, 0247, 0251, 0255, 0257, 0262, 0265]",[0247],yes,Semantic
images/NExTVideo/1000/3273928480.mp4,Is the dog at the left of the woman?,"[0300, 0303, 0306, 0308, 0310, 0315, 0318, 0328, 0332, 0335]",[0315],yes,Geometric
images/NExTVideo/1000/3297776560.mp4,Are there eaxctly three woman in the scene?,"[0840, 0843, 0846, 0850, 0852, 0855, 0857, 0860, 0862, 0864]",[0857],"[yes, yes]",Geometric
images/NExTVideo/1000/3298675598.mp4,Is the insect on the palm?,"[0550, 0560, 0565, 0568, 0585, 0590, 0595, 0600, 0603, 0607]","[0585, 0590]",yes,Geometric
images/NExTVideo/1000/3380344744.mp4,Is the baby wrapped with a piece of cloth?,"[0460, 0465, 0468, 0470, 0474, 0478, 0482, 0485, 0490, 0495]",[0478],no,Semantic
images/NExTVideo/1000/3388598772.mp4,Is the man kissing the woman?,"[0100, 0150, 0152, 0155, 0158, 0160, 0161, 0162, 0165, 0168]","[0158, 0160]",no,Semantic
images/NExTVideo/1000/3664990087.mp4,Are there exactly two people in the scene?,"[0314, 0316, 0319, 0322, 0325, 0328, 0330, 0333, 0336, 0345]",[0325],"[yes, yes]",Geometric
images/NExTVideo/1000/3669067230.mp4,Are there exactly two red plastic cups in the scene?,"[0255, 0263, 0264, 0265, 0268, 0271, 0275, 0278, 0282, 0335]",[0265],no,Compositional
images/NExTVideo/1000/3824469712.mp4,Is the boy on the vehicle?,"[0380, 0387, 0393, 0395, 0398, 0408, 0412, 0415, 0417, 0419]",[0412],no,Geometric
images/NExTVideo/1000/4116558765.mp4,Are there exactly two cats in the scene?,"[0885, 0900, 0910, 0920, 0975, 0985, 0990, 2380, 2400, 2410]",[0990],"[yes, yes]",Geometric
images/NExTVideo/1000/4227464140.mp4,Is the man looking at the television?,"[0490, 0500, 0502, 0504, 0506, 0508, 0510, 0512, 0515, 0520]",[0506],yes,Semantic
images/NExTVideo/1000/4405872555.mp4,Is the child at the left of the woman?,"[0188, 0193, 0196, 0199, 0203, 0210, 0215, 0220, 0225, 0229]",[0210],yes,Geometric
images/NExTVideo/1000/4550392934.mp4,Are both the birds standing in water?,"[1210, 1218, 1234, 1236, 1238, 1240, 1245, 1248, 1250, 1252]",[1240],no,Semantic
images/NExTVideo/1000/4638541063.mp4,Are there exactly two cats in the image?,"[0000, 0010, 0015, 0020, 0025, 0030, 0035, 0040, 0041, 0042]","[0030, 0035]",yes,Geometric
images/NExTVideo/1001/3098102850.mp4,Are there exactly two cats in the scene?,"[0435, 0445, 0455, 0465, 0470, 0475, 0480, 0500, 0505, 0525]","[0475, 0480]",yes,Geometric
images/NExTVideo/1001/3249160519.mp4,Are the two babies in the scene sitting beside each other?,"[0430, 0450, 0460, 0475, 0480, 0485, 0488, 0490, 0496, 0500]","[0485, 0488]",no,Semantic
images/NExTVideo/1101/2574374895.mp4,Is the baby sitting on the sofa?,"[0100, 0120, 0144, 0170, 0200, 0237, 0240, 0250, 0271, 0300]","[0237, 0240]",yes,Semantic
images/NExTVideo/1101/3483300439.mp4,Is the military lady shaking hands with the military man?,"[0273, 0274, 0275, 0278, 0279, 0280, 0281, 0285, 0287, 0290]","[0278, 0279]",yes,Semantic
images/NExTVideo/1101/3812429626.mp4,Is there a black shirt man behind the orange shirt man?,"[0459, 0460, 0463, 0464, 0473, 0474, 0480, 0484, 0486, 0489]","[0473, 0474]",no,Compositional
images/NExTVideo/1101/4542514917.mp4,Is the man looking at the baby's face?,"[0097, 0098, 0100, 0101, 0102, 0104, 0105, 0106, 0107, 0108]","[0102, 0104]",no,Semantic
