id,video_path,question,ground_truth,frames,center_frames
0,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0BX9N.mp4,Is the book in the hand of the woman,yes,"[0086,0091,0066,0078,0070,0107,0149,0166,0173,0221]",0070
1,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0CGMQ.mp4,Is the person looking at the television,yes,"[0000,0040,0369,0370,0372,0375,0376,0379,0384,0400]",0372
2,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0D5JP.mp4,Is the man looking down,no,"[0191,0080,0117,0125,0128,0132,0390,0398,0400,0409]",0128
3,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0DD62.mp4,Is the man looking up,no,"[0000,0019,0154,0238,0240,0244,0248,0249,0254,0261]",0240
4,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0DJ4I.mp4,Are there two persons in the image?,no,"[0000,0080,0555,0098,0279,0101,0138,0104,0105,0114]",0279
5,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0E6H9.mp4,Are there things in both hand of the person?,yes,"[0002,0016,0349,0439,0470,0594,0605,0625,0714,0738]",0470
6,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0EJAG.mp4,Are there things in both the hands of the man?,yes,"[0073,0078,0175,0186,0198,0228,0234,0251,0278,0290]",0198
7,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0F0WE.mp4,Is the man sitting?,no,"[0108,0100,0061,0608,0622,0653,0671,0783,0794,0820]",0622
8,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0FVYR.mp4,Is there a dog in the image?,no,"[0002,0568,0581,0597,0927,0615,0618,0624,0642,0652]",0927
9,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0H5VC.mp4,Is the man sleeping?,no,"[0000,0515,0701,0711,0716,0720,0733,0742,0775,0816]",0716
10,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0HGNK.mp4,Is the person full face visible?,yes,"[0718,0640,0001,0586,0553,0044,0104,0210,0748,0750]",0553
11,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0HR01.mp4,Is there a cat in the image?,no,"[0002,0032,0194,0385,0330,0418,0534,0591,0634,0604]",0330
12,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0IJ8T.mp4,Are there two persons in the image?,no,"[0164,0467,0010,0047,0348,0542,0353,0364,0421,0374]",0348
13,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0IKE9.mp4,Is the woman looking in front or not?,yes,"[0105,0016,0071,0022,0066,0046,0047,0051,0053,0056]",0066
14,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0J471.mp4,Is the woman standing?,no,"[0001,0257,0277,0292,0298,0328,0347,0370,0401,0492]",0298
15,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0K0LP.mp4,Is the boy sitting on the sofa,no,"[0008,0098,0250,0255,0295,0299,0302,0309,0320,0343]",0295
16,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0L0KS.mp4,Is the person sitting on the chair,no,"[0001,0007,0011,0017,0018,0020,0024,0027,0031,0036]",0018
17,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0LD2V.mp4,Is the girl holding something?,no,"[0153,0105,0184,0194,0408,0426,0431,0446,0457,0467]",0408
18,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0LNLR.mp4,Is the woman sleeping?,no,"[0000,0050,0068,0215,0225,0238,0248,0257,0321,0468]",0225
19,/home/leapers/data/VideoQA_datasets/star/Charades_v1/0M6IY.mp4,Is the man sleeping?,no,"[0003,0415,0422,0440,0444,0470,0478,0495,0513,0529]",0444
