user_id,trial_id,part,video_path,question,category,gt_answer,frames,frame_5_rating,frame_6_rating,frame_7_rating,frame_8_rating,frame_9_rating,frame_17_rating,frame_22_rating,frame_23_rating,frame_24_rating,frame_25_rating,ratings_list,good_datapoint,comment,reaction_time_ms,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,34,1,video_frames_kalash_new_filtered/25.webm,Is the finger touching the white container?,,"[no, no]","[5, 6, 7, 8, 9, 17, 22, 23, 24, 25]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,83646,2026-05-11T10:05:02.914204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,15,1,video_frames_kalash_new_filtered/video_132.mp4,Are there exactly 3 blue cups on the table?,,"[yes, yes]","[136, 138, 140, 144, 148, 154, 201, 207, 208, 210]",10,9,7,9,10,6,9,10,10,10,"[10, 9, 7, 9, 10, 6, 9, 10, 10, 10]",yes,,120049,2026-05-11T10:07:06.149820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,42,1,video_frames_kalash_new_filtered/80.webm,Is the person touching the white object?,,"[no, no]","[7, 8, 9, 10, 11, 16, 31, 32, 33, 34]",10,10,10,8,8,9,7,7,8,9,"[10, 10, 10, 8, 8, 9, 7, 7, 8, 9]",yes,,131462,2026-05-11T10:09:20.809258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,3,1,video_frames_kalash_new_filtered/video_35.mp4,Is the pen touching the book?,,"[no, no]","[351, 373, 375, 381, 387, 397, 404, 407, 410, 412]",10,5,9,10,9,6,10,10,3,9,"[10, 5, 9, 10, 9, 6, 10, 10, 3, 9]",yes,,192534,2026-05-11T10:12:36.542195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,28,1,video_frames_kalash_new_filtered/video_540.mp4,Are there a pair of of white shoes beneath the pair of jeans?,,"[yes, yes]","[428, 429, 430, 434, 435, 444, 531, 533, 536, 538]",4,4,6,9,9,2,5,6,7,9,"[4, 4, 6, 9, 9, 2, 5, 6, 7, 9]",no,"In the first two images, it is difficult to identify if the jeans is directly above or in just front of the shoes.",344862,2026-05-11T10:18:24.622961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,41,1,video_frames_kalash_new_filtered/77.webm,Is the orange object on the right of the green watch?,,yes,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 12]",10,10,10,10,9,1,9,9,10,10,"[10, 10, 10, 10, 9, 1, 9, 9, 10, 10]",no,The green color is not very distinguishable.,93939,2026-05-11T10:20:01.766093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,8,1,video_frames_kalash_new_filtered/video_69.mp4,Is the onion being dropped into the footwear?,,no,"[369, 373, 377, 382, 387, 391, 395, 403, 425, 437]",10,10,2,2,2,2,2,1,2,6,"[10, 10, 2, 2, 2, 2, 2, 1, 2, 6]",no,"It looks like the hand is further away from the footwear, and not next to it.",129636,2026-05-11T10:22:14.610894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,50,1,video_frames_kalash_new_filtered/170.webm,Is the deodrant can on the green tile?,,yes,"[35, 36, 37, 38, 39, 43, 46, 47, 48, 49]",10,10,10,10,8,7,10,10,10,10,"[10, 10, 10, 10, 8, 7, 10, 10, 10, 10]",yes,,48908,2026-05-11T10:23:06.717762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,19,1,video_frames_kalash_new_filtered/video_191.mp4,Is the door closed?,,no,"[103, 106, 107, 111, 114, 132, 141, 145, 147, 151]",10,10,10,10,10,10,10,10,10,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",yes,,37781,2026-05-11T10:23:47.702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra,6,1,video_frames_kalash_new_filtered/video_64.mp4,Is the plastic lid placed on the transparent tumbler?,,no,"[550, 555, 569, 573, 574, 578, 581, 589, 594, 621]",8,8,9,10,10,10,10,10,10,10,"[8, 8, 9, 10, 10, 10, 10, 10, 10, 10]",yes,,121197,2026-05-11T10:25:52.099803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
